name,points,clears
"ワドルディ^,^",5.1,1
f.t.b28(2),13.399999999999999,4
もうおんらいんしない,9.299999999999999,3
Maxgame,14.299999999999999,5
Millmousse,9.3,2
al3554ndro,9.299999999999999,3
ベチャベチャ,5.1,1
"2965,torzф",5.1,1
KMI,10.1,3
Bаsil,15.899999999999999,5
IsaacMM2,10.1,3
ゴールまちするよぉ！,5.1,1
Meerkater,21.9,8
ayuto 12さい,7.6,2
Dry4Haz,10.899999999999999,3
koukun4444,23.4,8
カスタードプリン,5.1,1
りっきーe^iτ=1,5.1,1
HYYT(^^)/,10.899999999999999,3
ぽこにゃん。。_,5.1,1
すいむぅ,11.799999999999999,4
yejung,15.2,5
mushbee,12.599999999999998,4
FXR_りょうるど√,12.799999999999999,5
[ゆうま],25.9,9
よっしーです′ω`ゝ,5.1,1
AngelMusic,5.1,1
ZoカCalqlus,5.1,1
てんき*,7.6,2
なるたつ,19.299999999999997,7
あさはやいからねるね,7.6,2
おと0407,5.1,1
ビックゴソゴソ,10.099999999999998,3
★Shy☆Fish★,7.6,2
CHN★XYZW,9.3,2
°∀°/,6.1,2
#あたふわ,7.6,2
Leo 4589,11.799999999999999,4
Ρrο,5.1,1
Sylok,5.1,1
そなじ,5.1,1
GhostPasta,11.799999999999999,4
Eclipse SA,16.099999999999998,6
¤ねこす¤,7.6,2
よこはまさん,12.599999999999998,4
Sae_Mau,20.299999999999997,8
オオカゲタクマ,5.1,1
りょおくん！,7.6,2
ボブリン,5.1,1
Hong Xin,10.899999999999999,3
CHN★ZBaLøR,5.1,1
がんばおおさか²,8.399999999999999,2
おいしゃさん,5.1,1
CBASX,7.6,2
せかいいさんマニア,10.1,3
frank87,12.899999999999999,5
Worn-out,7.6,2
justJusttt,43.70000000000001,15
Doltish,5.1,1
TORQUE.C.S,12.599999999999998,4
kimajun,5.1,1
TheWrGod,10.299999999999999,4
たったらみー,7.6,2
ひろや∞,5.1,1
XtrAFrancO,5.1,1
wachavs2,8.399999999999999,2
Sandro BR,5.1,1
ぞ～ろ～,5.1,1
「せいは」,7.6,2
'_れい,9.299999999999999,3
ゆうひ1234,5.1,1
そーん´`,5.1,1
アああイアああああ,9.299999999999999,3
やたいのかみ,5.1,1
K-moch,5.1,1
まんじろう。ようつべ,5.1,1
ArdanKR,5.1,1
さっくん™。,7.6,2
dood543,5.1,1
Gogeta UI,5.1,1
UrrMomGoi,7.6,2
Neagle,33.6,12
ラティクチ,12.599999999999998,4
IsaPizzaa,107.80000000000001,41
しん390,7.6,2
M1ss10n,55.70000000000003,24
Richy0213,15.099999999999998,5
Goguy1,10.099999999999998,3
dwrade,7.6,2
あーゆーと。？,5.1,1
Zemdeug,5.1,1
ninja dy,6.8,2
でんぼ**,26.7,13
maemaeski,5.1,1
Joshi67,5.1,1
eeeeoooo4,5.1,1
japexican,15.999999999999998,6
Pikа,5.1,1
Cf_Crew,16.0,5
sarab8001,5.1,1
daimom940,5.1,1
なるあき,5.1,1
elport,5.1,1
QたいHRK307,5.1,1
くろあ☆,5.1,1
fanderson,5.1,1
CHN★caib,5.1,1
Aldwulf,5.1,1
UNDERTАKER,5.1,1
sadarter,5.1,1
ppqpqq,5.1,1
BraMy,10.899999999999999,3
ChrisJaw9,33.4,12
Tharusher,8.399999999999999,2
(#~#)7,5.1,1
△ゆってぃ▽,5.1,1
Lumа,8.399999999999999,2
Reiwan,26.099999999999994,11
Calebknot,5.1,1
Ρrо,5.1,1
Toddete eµ,15.100000000000001,4
Anmazllé,5.1,1
Guacamole™,9.3,2
dlajd,5.1,1
□²,5.1,1
broссoli,5.1,1
Κrs,5.1,1
~Chichiri~,7.6,2
Troller_KR,5.1,1
Copron,5.1,1
GDΥ,5.1,1
ΧΧX,5.1,1
0Matthew0,11.7,3
Toraptus,4.2,1
C. Phoenix,261.3999999999997,106
ULTRA [MS],34.10000000000001,11
●Yin Yang●,106.0,40
Streeder,35.900000000000006,13
elLuca1000,7.5,2
alfonsso,73.90000000000002,29
Rictend0,7.7,3
モstosモrown,4.2,1
Choas L,6.7,2
oscar5555,19.5,8
MCW UK,26.9,10
★ JMA ★,39.500000000000014,14
Blackbyrd7,16.799999999999997,7
(BirdBoi),17.7,7
la flaca,43.80000000000001,17
superman05,15.899999999999999,6
Josemari08,4.2,1
__Beast__,19.299999999999997,8
matty croc,26.599999999999998,13
ysocereal,26.700000000000003,7
TimmyHo,37.5,10
anatta,102.7,39
MichaelF,27.6,7
Zara,4.2,1
rând33,7.5,2
Dar-Kim-Do,145.39999999999992,55
garblefink,4.2,1
ボディプレス。,8.4,3
らいらい♪,70.80000000000003,31
KL▲PP€R,10.0,3
MaColin,9.2,3
Bash_888,16.0,6
Mr.Bliss!,4.2,1
Lucifett,14.2,5
chinomaker,6.7,2
TheKastle,14.3,5
Skylordrl,39.300000000000004,14
MonkyMoeas,26.4,11
★Fra☆,4.2,1
Scallywαg,10.9,3
CatGotNova,4.2,1
melope,4.2,1
TheTaurus,4.2,1
pH14 Mitch,6.9,3
MigueBoxes,8.600000000000001,4
Z_Gravity,6.7,2
ppopçkek,4.2,1
DoodleDex,4.2,1
Shamino,4.2,1
Gible_V,4.2,1
Lоbstеr,4.2,1
jafpl_17,4.2,1
click247,4.2,1
FIXERχ_すみ,6.7,2
sonnenkind,20.099999999999998,8
maboiwheez,37.6,18
OmegaKaotx,10.899999999999999,4
Psicotoy,43.000000000000014,19
crinsito,4.2,1
alkoos399,8.5,3
